url,city,state,street-address,zipcode,beds,baths,sqft,lotsize,price,property-type,time-on-realtor,hoa,price/sqft,garage,year,median_listing_home_price,median_sold_home_price,median_days_on_market,median_listing_home_price_persqft,school_district,broker
/realestateandhomes-detail/6728-Charing-Cross-Rd_Berkeley_CA_94705_M96680-73946,Berkeley,CA,6728 Charing Cross Rd,94705,4,4.5,"3,020sqft","7,594sqft lot","$2,950,000 ",Single Family,13 Hours,,$977 ,2 cars,2022,"$1,495,000 ","$1,550,000 ",42,$691 ,-,-
/realestateandhomes-detail/135-Tunnel-Rd_Berkeley_CA_94705_M13670-45511,Berkeley,CA,135 Tunnel Rd,94705,4,2.5,"2,904sqft","5,814sqft lot","$1,949,000 ",Single Family,13 Hours,,$671 ,,1912,"$1,495,000 ","$1,550,000 ",42,$691 ,Berkeley (510) 644-6150,The Grubb Co.
/realestateandhomes-detail/2611-Derby-St_Berkeley_CA_94705_M27674-73736,Berkeley,CA,2611 Derby St,94705,5,2.5,"2,377sqft","3,400sqft lot","$1,795,000 ",Single Family,18 Hours,,$755 ,,1925,"$1,495,000 ","$1,550,000 ",42,$691 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/161-Tamalpais-Rd_Berkeley_CA_94708_M11388-66145,Berkeley,CA,161 Tamalpais Rd,94708,2,2,"1,480sqft","7,713sqft lot","$1,095,000 ",Single Family,1 Day,,$740 ,,1983,"$1,300,000 ","$1,915,000 ",27,$804 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/490-Panoramic-Way_Berkeley_CA_94704_M21923-85712,Berkeley,CA,490 Panoramic Way,94704,2,2,"1,125sqft","5,984sqft lot","$899,000 ",Single Family,1 Day,,$799 ,,1948,"$899,000 ","$900,000 ",36,$818 ,Berkeley (510) 644-6150,-
/realestateandhomes-detail/2439-Roosevelt-Ave_Berkeley_CA_94703_M27717-22053,Berkeley,CA,2439 Roosevelt Ave,94703,7,5,"2,215sqft","2,550sqft lot","$1,500,000 ",Multi-Family,1 Day,,$677 ,2 cars,1908,"$1,425,000 ","$1,400,000 ",37,$766 ,-,-
/realestateandhomes-detail/2690-Shasta-Rd_Berkeley_CA_94708_M10959-35779,Berkeley,CA,2690 Shasta Rd,94708,3,2.5,"3,070sqft","6,507sqft lot","$1,595,000 ",Single Family,1 Day,,$520 ,,1979,"$1,300,000 ","$1,915,000 ",27,$804 ,-,COMPASS
/realestateandhomes-detail/1475-Campus-Dr_Berkeley_CA_94708_M11135-99836,Berkeley,CA,1475 Campus Dr,94708,3,2.5,"1,434sqft","6,588sqft lot","$1,150,000 ",Single Family,1 Day,,$802 ,1 car,1972,"$1,300,000 ","$1,915,000 ",27,$804 ,-,COMPASS
/realestateandhomes-detail/2747-San-Pablo-Ave-Unit-212_Berkeley_CA_94702_M91652-30493,Berkeley,CA,2747 San Pablo Ave Unit 212,94702,1,1.5,773sqft,0.4acre lot,"$629,000 ",Condo,1 Day,$461/mo,$814 ,1 car,2020,"$1,095,000 ","$1,237,500 ",34,$860 ,-,Better Homes and Gardens Real Estate Reliance Partners
/realestateandhomes-detail/2632-Warring-St-Apt-5_Berkeley_CA_94704_M27432-88139,Berkeley,CA,2632 Warring St Apt 5,94704,2,1,845sqft,"9,083sqft lot","$688,000 ",Condo,1 Day,$360/mo,$814 ,,1980,"$1,495,000 ","$1,550,000 ",42,$691 ,-,-
